<null>;
Wuppertal West;265
Wuppertal Ost;266
Kerken/Wachtendonk;201
Kamp-Lintfort;202
Wesel;203
Geldern/Issum;204
Dorsten;205
Haltern;206
s'Heerenberg;207
Straelen;210
Neukirchen-Vluyn/Rheurdt;211
Rheinberg;212
Dienslaken/Voerde;213
Schermbeck/Hünxe;214
Marl;215
Alpen;216
Recklinghausen/Herten;217
Oer-Erkenschwick/Datteln;218
Nettetal/Brüggen;220
Kempen/Grefrath/Tönisvorst;221
Moers;222
Duisburg Nord;223
Oberhausen;224
Bottrop/Gladbeck;225
Gelsenkirchen;226
Herne;227
Castrop-Rauxel;228
Waltrop;229
Schwalmtal/Niederkrüchten;230
Viersen;231
Krefeld;232
Duisburg Mitte/Süd;233
Mülheim/Ruhr;234
Essen Mitte/Nord;235
Bochum;236
Dortmund Mitte/West;237
Dortmund Ost;238
Willich;241
Meerbusch;242
Düsseldorf Mitte/Nord;243
Ratingen/Heiligenhaus;244
Essen Süd;245
Hattingen/Sprockhövel;246
Witten/Wetter/Herdecke;247
Mönchengladbach;250
Korschenbroich;251
Neuss/Kaarst;252
Düsseldorf Süd;253
Mettmann/Wülfrath;254
Velbert;255
Arnhem;257
Hagen;258
Millingen a. d. Rijn;259
Nijmegen/Groesbeek;260
Grevenbroich;261
Dormagen;262
Rommerskirchen;263
Erkrath/Haan/Hilden;264
Schwelm/Ennepetal/Gevelsberg/Breckerfeld;267
Venlo;269
Wegberg;270
Emmerich;271
Jüchen;272
Langenfeld/Monheim;273
Solingen;274
Remscheid;275
Uedem;277
Kalkar;278
Rees;279
Kleve;280
Kranenburg;281
Bedburg-Hau;282
Xanten;283
Sonsbeck;284
Kevelaer;285
Goch/Weeze;286
Zevenaar/Dülven/Westervoort;287
Hamminkeln;288
Isselburg;301
Bocholt;302
Rhede;303
Raesfeld;304
Borken;305
Heiden;306
Reken;307
Olfen;308
Lünen;309
Bergkamen;310
Kamen;311
Unna;312
Holzwickede;313
Schwerte;314
Region Aachen (Gebiet des AVV);401
Region Westfalen (Gebiet des Westfalen-Tarifs);402
Region Rheinland (Gebiet des VRS);403
Baden-Württemberg;501
Bayern;502
Berlin;503
Brandenburg;504
Bremen;505
Hamburg;506
Hessen;507
Mecklenburg-Vorpommern;508
Niedersachsen;509
Rheinland-Pfalz;510
Saarland;511
Sachsen;512
Sachsen-Anhalt;513
Schleswig-Holstein;514
Thüringen;515
BeNeLux;601
Frankreich;602
Großbritannien und Irland;603
Schweiz;604
Österreich;605
Tschechien;606
Polen;607
Dänemark;608
übriges Europa;609
Adlerbrücke;101
Alter Markt;102
Am Engelnberg;103
Bruch;104
Bürgerallee;105
Clausen;106
Ewaldstraße;107
Germanenstraße;108
Görlitzer Platz;109
Hammerstein;110
Handelstraße;111
Hauptbahnhof - Wuppertal Hbf;112
Heusnerstraße;113
Hugostraße;114
Klingelholl;115
Kluse;116
Landgericht;117
Leimbach;118
Loher Bahnhof;119
Loher Brücke;120
Morianstraße;121
Neuenteich;122
Oberbarmen Bf;123
Ohligsmühle/Stadthalle;124
Oststraße;125
Pestalozzistraße;126
Robert-Daum-Platz;127
Rudolfstraße;128
Schönebecker Straße;129
Schützenstraße/WSW;130
Sonnborner Straße;131
Varresbecker Straße ;132
Vohwinkel Schwebebahn;133
Völklinger Straße;134
Wall/Museum;135
Werther Brücke;136
Westende;137
Wichlinghausen Markt;138
Wichlinghauser Str.;139
Wupperfeld;140
Zoo/Stadion;141
