;<null>;
WSW;WSW mobil GmbH (Wuppertal);801
Rheinbahn;Rheinbahn AG (Düsseldorf);802
SR;Stadtwerke Remscheid GmbH;803
SWS;Stadtwerke Solingen GmbH - Center Verkehr;804
VER;Verkehrsgesellschaft Ennepe-Ruhr mbH;805
BGS;BoGeStra;806
BRS;Busverkehr Ruhr-Sieg GmbH;807
BSM;Bahnen der Stadt Monheim GmbH;808
BVR;Busverkehr Rheinland GmbH;809
DB;DB Regio NRW GmbH;810
DSW21;Dortmunder Stadtwerke;811
DVG;Duisburger Verkehrsgesellschaft AG;812
EVAG;Essener Verkehrs-AG;813
GWW;Gemeindewerke Wachtendonk GmbH;814
HCR;Straßenbahn Herne-Castrop-Rauxel GmbH;815
HST;Hagener Straßenbahn AG;816
Look;Look Busreisen GmbH;817
MVG;Mülheimer VerkehrsGesellschaft mbH;818
MVG;Märkische Verkehrsgesellschaft GmbH;819
N mobil;NEW mobil und aktiv Viersen GmbH;820
NEW MöBus;NEW mobil und aktiv Mönchengladbach GmbH;821
NIAG;Niederrheinische Verkehrsbetriebe AG;822
RegioBahn;Regionale Bahngesellschaft Kaarst-Mettmann mbH;823
RVM;Regionalverkehr Münsterland GmbH;824
RVN;Regionalverkehr Niederrhein GmbH;825
SBB;StadtBus Bocholt GmbH;826
SDG;Stadtbus Dormagen GmbH;827
SDG-V;Städtische Dienste Geldern Verkehrsbetrieb;828
STOAG;Stadtwerke Oberhausen AG;829
SWG;Stadtwerke Goch GmbH;830
SWK;SWK MOBIL GmbH (Krefeld);831
SWKev;Stadtwerke Kevelaer;832
SWN;Stadtwerke Neuss GmbH;833
VEST;Vestische Straßenbahnen GmbH;834
VGV;Verkehrsgesellschaft der Stadt Velbert mbH;835
VKU;Verkehrsgesellschaft Kreis Unna mbH;836
VVS;Versorgungs- und Verkehrsbetrieb der Stadt Straelen;837
WB;Westfalen Bus GmbH;838
Ruhrbahn;Ruhrbahn GmbH;839
Abellio;Abellio GmbH;901
DB;DB Regio NRW GmbH;902
DVG;Duisburger Verkehrsgesellschaft AG;903
eurobahn;KEOLIS Deutschland GmbH & Co. KG;904
GWW;Gemeindewerke Wachtendonk GmbH;905
Look;Look Busreisen GmbH;906
NIAG;Niederrheinische Verkehrsbetriebe AG;907
RVN;Regionalverkehr Niederrhein GmbH;908
SDG-V;Städtische Dienste Geldern Verkehrsbetrieb;909
SWG;Stadtwerke Goch GmbH;910
SWK;SWK MOBIL GmbH (Krefeld);911
SWKev;Stadtwerke Kevelaer;912
VVS;Versorgungs- und Verkehrsbetrieb der Stadt Straelen;913
HBR;Verkehrsbetrieb Hüttebräucker GmbH;951
KGW;Kraftverkehr Gebr. Wiedenhoff GmbH & Co KG;952
KWS;Kraftverkehr Wupper-Sieg AG;953
OVAG;Oberbergische Verkehrsgesellschaft AG;954
REVG;Rhein-Erft-Verkehrsgesellschaft mbH;955
RVK;Regionalverkehr Köln GmbH;956
;Sonstige;998
;VU nicht erkennbar;999
